gender,age,occupation,visits,meal_type,time_spent,distance,member,purchase,quality_rating,price_rating,sales/promotions_importance,ambiance_rating,wifi_quality,service_rating,starbucks_for_business_meetings/hangouts,promotions_source,will_return
male,from_20_to_29,student,rarely,dine_in,below_30_minutes,more_than_3km,no,coffee;pastries,3,3,3,3,3,3,2,social_media,no
male,from_20_to_29,student,rarely,take_away,below_30_minutes,more_than_3km,no,cold_drinks,4,2,3,5,4,4,2,social_media,no
female,from_20_to_29,employed,monthly,take_away,below_30_minutes,more_than_3km,no,cold_drinks,5,4,4,4,4,4,4,social_media;through_friends_and_word_of_mouth;in_store_displays;billboards,yes
female,below_20,student,rarely,take_away,below_30_minutes,more_than_3km,no,cold_drinks,3,4,5,5,5,4,4,social_media,yes
male,40_and_above,self-employed,rarely,dine_in,between_30_minutes_to_1_hour,more_than_3km,no,cold_drinks,2,2,1,2,2,3,2,in_store_displays,no
male,below_20,student,daily,take_away,below_30_minutes,more_than_3km,no,cold_drinks,5,5,5,5,5,5,5,social_media;through_friends_and_word_of_mouth,yes
male,from_30_to_39,student,monthly,dine_in,between_1_hour_to_2_hours,more_than_3km,no,cold_drinks,4,4,5,4,2,3,4,social_media,yes
male,40_and_above,self-employed,monthly,dine_in,between_1_hour_to_2_hours,1km_-_3km,yes,coffee,3,3,5,3,2,4,4,starbucks_website/apps;social_media,yes
male,from_20_to_29,employed,monthly,dine_in,between_1_hour_to_2_hours,1km_-_3km,yes,coffee;cold_drinks;juices;pastries;sandwiches,5,5,5,5,5,5,5,"starbucks_website/apps;social_media;emails;deal_sites_(fave,_iprice,_etc...);through_friends_and_word_of_mouth;in_store_displays;billboards",yes
male,from_20_to_29,student,rarely,dine_in,between_30_minutes_to_1_hour,1km_-_3km,no,coffee;cold_drinks,3,2,4,3,3,3,4,social_media;through_friends_and_word_of_mouth;in_store_displays,no
female,from_20_to_29,employed,rarely,take_away,below_30_minutes,within_1km,no,coffee,4,4,4,4,4,4,4,social_media;through_friends_and_word_of_mouth;billboards,yes
male,from_20_to_29,employed,rarely,dine_in,between_30_minutes_to_1_hour,1km_-_3km,no,coffee,1,1,5,4,3,3,2,in_store_displays,no
